id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
KOGD155,KOGD,2020-06-03 00:00:00,2020.4234973,155,-1356671.06161,6098368.04089,1280387.72782,47,886290.0759,1291158.4221,11.658062961225,102.542041227099,35.9739,55.8137
KOGD156,KOGD,2020-06-04 00:00:00,2020.4262295,156,-1356671.06628,6098368.05979,1280387.73564,47,886290.0763,1291158.4259,11.658062994936,102.542041231223,35.9945,55.8343
KOGD157,KOGD,2020-06-05 00:00:00,2020.4289617,157,-1356671.06233,6098368.04346,1280387.72735,47,886290.0761,1291158.4211,11.658062952211,102.542041228371,35.9764,55.8162
KOGD158,KOGD,2020-06-06 00:00:00,2020.4316940,158,-1356671.06570,6098368.04447,1280387.72772,47,886290.0791,1291158.4212,11.658062952354,102.542041256547,35.9781,55.8179
KOGD161,KOGD,2020-06-09 00:00:00,2020.4398907,161,-1356671.06493,6098368.04923,1280387.73209,47,886290.0773,1291158.4246,11.658062982864,102.542041240142,35.9834,55.8232
KOGD162,KOGD,2020-06-10 00:00:00,2020.4426230,162,-1356671.06401,6098368.05461,1280387.73334,47,886290.0752,1291158.4247,11.658062984727,102.542041221182,35.9886,55.8284
KOGD163,KOGD,2020-06-11 00:00:00,2020.4453552,163,-1356671.06651,6098368.05313,1280387.73209,47,886290.0780,1291158.4237,11.658062975305,102.542041246521,35.9875,55.8273
KOGD164,KOGD,2020-06-12 00:00:00,2020.4480874,164,-1356671.06482,6098368.05176,1280387.72941,47,886290.0767,1291158.4214,11.658062954636,102.542041234125,35.9852,55.8251
KOGD165,KOGD,2020-06-13 00:00:00,2020.4508197,165,-1356671.06529,6098368.06101,1280387.73026,47,886290.0751,1291158.4204,11.658062945550,102.542041219924,35.9944,55.8342
KOGD168,KOGD,2020-06-16 00:00:00,2020.4590164,168,-1356671.07101,6098368.05938,1280387.73212,47,886290.0811,1291158.4224,11.658062962646,102.542041274392,35.9944,55.8342
KOGD170,KOGD,2020-06-18 00:00:00,2020.4644809,170,-1356671.06527,6098368.04785,1280387.73102,47,886290.0779,1291158.4238,11.658062975747,102.542041245977,35.9819,55.8217
KOGD171,KOGD,2020-06-19 00:00:00,2020.4672131,171,-1356671.06971,6098368.04785,1280387.73138,47,886290.0823,1291158.4240,11.658062977138,102.542041285670,35.9829,55.8228
KOGD172,KOGD,2020-06-20 00:00:00,2020.4699454,172,-1356671.06795,6098368.04914,1280387.73237,47,886290.0803,1291158.4248,11.658062984321,102.542041267416,35.9840,55.8238
KOGD173,KOGD,2020-06-21 00:00:00,2020.4726776,173,-1356671.06935,6098368.05750,1280387.73347,47,886290.0798,1291158.4241,11.658062978533,102.542041263263,35.9925,55.8323
KOGD175,KOGD,2020-06-23 00:00:00,2020.4781421,175,-1356671.06429,6098368.04627,1280387.72918,47,886290.0773,1291158.4223,11.658062962668,102.542041240355,35.9798,55.8196
KOGD176,KOGD,2020-06-24 00:00:00,2020.4808743,176,-1356671.06436,6098368.04829,1280387.72744,47,886290.0770,1291158.4202,11.658062943575,102.542041236906,35.9814,55.8212
KOGD177,KOGD,2020-06-25 00:00:00,2020.4836066,177,-1356671.06201,6098368.04341,1280387.72718,47,886290.0758,1291158.4210,11.658062950886,102.542041225621,35.9762,55.8160
KOGD178,KOGD,2020-06-26 00:00:00,2020.4863388,178,-1356671.07026,6098368.06018,1280387.72837,47,886290.0802,1291158.4186,11.658062928299,102.542041266071,35.9942,55.8341
KOGD179,KOGD,2020-06-27 00:00:00,2020.4890710,179,-1356671.07039,6098368.06100,1280387.73117,47,886290.0801,1291158.4211,11.658062951547,102.542041265624,35.9956,55.8354
KOGD180,KOGD,2020-06-28 00:00:00,2020.4918033,180,-1356671.07221,6098368.05660,1280387.73021,47,886290.0829,1291158.4210,11.658062950207,102.542041290665,35.9916,55.8314
KOGD181,KOGD,2020-06-29 00:00:00,2020.4945355,181,-1356671.06444,6098368.04689,1280387.72536,47,886290.0774,1291158.4184,11.658062927645,102.542041240451,35.9797,55.8195
KOGD182,KOGD,2020-06-30 00:00:00,2020.4972678,182,-1356671.06783,6098368.05959,1280387.72864,47,886290.0779,1291158.4190,11.658062932651,102.542041245480,35.9932,55.8330
