id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
BOBR160,BOBR,2020-06-08 00:00:00,2020.4371585,160,-1391662.82288,5971556.58863,1750910.62239,47,940888.5582,1777625.3072,16.038931308480,103.118548932854,151.3450,179.7633
BOBR161,BOBR,2020-06-09 00:00:00,2020.4398907,161,-1391662.82221,5971556.57952,1750910.61852,47,940888.5597,1777625.3060,16.038931297352,103.118548946071,151.3353,179.7536
BOBR163,BOBR,2020-06-11 00:00:00,2020.4453552,163,-1391662.82236,5971556.59178,1750910.62182,47,940888.5570,1777625.3059,16.038931296139,103.118548921409,151.3477,179.7660
BOBR164,BOBR,2020-06-12 00:00:00,2020.4480874,164,-1391662.83018,5971556.60057,1750910.62196,47,940888.5627,1777625.3032,16.038931271549,103.118548973932,151.3577,179.7760
BOBR165,BOBR,2020-06-13 00:00:00,2020.4508197,165,-1391662.82110,5971556.58915,1750910.62423,47,940888.5564,1777625.3089,16.038931324150,103.118548915588,151.3456,179.7639
BOBR166,BOBR,2020-06-14 00:00:00,2020.4535519,166,-1391662.82240,5971556.58340,1750910.62187,47,940888.5590,1777625.3082,16.038931316919,103.118548939570,151.3399,179.7582
BOBR168,BOBR,2020-06-16 00:00:00,2020.4590164,168,-1391662.82522,5971556.58202,1750910.61790,47,940888.5621,1777625.3046,16.038931284191,103.118548968191,151.3381,179.7564
BOBR169,BOBR,2020-06-17 00:00:00,2020.4617486,169,-1391662.82832,5971556.59443,1750910.62262,47,940888.5623,1777625.3056,16.038931293258,103.118548970036,151.3517,179.7700
BOBR170,BOBR,2020-06-18 00:00:00,2020.4644809,170,-1391662.82714,5971556.58157,1750910.61865,47,940888.5640,1777625.3054,16.038931290677,103.118548986548,151.3383,179.7566
BOBR171,BOBR,2020-06-19 00:00:00,2020.4672131,171,-1391662.82399,5971556.58833,1750910.62175,47,940888.5594,1777625.3067,16.038931303029,103.118548943626,151.3448,179.7631
BOBR172,BOBR,2020-06-20 00:00:00,2020.4699454,172,-1391662.82587,5971556.58249,1750910.61705,47,940888.5626,1777625.3037,16.038931275283,103.118548973054,151.3385,179.7568
BOBR174,BOBR,2020-06-22 00:00:00,2020.4754098,174,-1391662.82408,5971556.57722,1750910.61742,47,940888.5620,1777625.3055,16.038931292355,103.118548967957,151.3332,179.7515
BOBR175,BOBR,2020-06-23 00:00:00,2020.4781421,175,-1391662.82135,5971556.57185,1750910.61268,47,940888.5607,1777625.3026,16.038931265757,103.118548954511,151.3263,179.7446
BOBR176,BOBR,2020-06-24 00:00:00,2020.4808743,176,-1391662.82341,5971556.58687,1750910.62084,47,940888.5592,1777625.3062,16.038931298982,103.118548941378,151.3431,179.7614
BOBR177,BOBR,2020-06-25 00:00:00,2020.4836066,177,-1391662.82780,5971556.59834,1750910.62611,47,940888.5608,1777625.3080,16.038931314408,103.118548957016,151.3562,179.7745
BOBR178,BOBR,2020-06-26 00:00:00,2020.4863388,178,-1391662.82677,5971556.57459,1750910.61448,47,940888.5653,1777625.3033,16.038931271705,103.118548998046,151.3305,179.7489
BOBR179,BOBR,2020-06-27 00:00:00,2020.4890710,179,-1391662.82122,5971556.57134,1750910.61578,47,940888.5606,1777625.3057,16.038931294014,103.118548954446,151.3267,179.7450
BOBR180,BOBR,2020-06-28 00:00:00,2020.4918033,180,-1391662.82630,5971556.57529,1750910.61503,47,940888.5647,1777625.3037,16.038931275042,103.118548992247,151.3313,179.7496
BOBR181,BOBR,2020-06-29 00:00:00,2020.4945355,181,-1391662.82020,5971556.58332,1750910.61743,47,940888.5569,1777625.3040,16.038931279769,103.118548919683,151.3381,179.7564
BOBR183,BOBR,2020-07-01 00:00:00,2020.5000000,183,-1391662.82667,5971556.57367,1750910.61777,47,940888.5654,1777625.3067,16.038931302579,103.118548999040,151.3306,179.7489
BOBR184,BOBR,2020-07-02 00:00:00,2020.5027322,184,-1391662.83064,5971556.58735,1750910.61851,47,940888.5662,1777625.3035,16.038931273458,103.118549006201,151.3444,179.7628
BOBR185,BOBR,2020-07-03 00:00:00,2020.5054645,185,-1391662.82697,5971556.58177,1750910.61974,47,940888.5638,1777625.3064,16.038931299784,103.118548984577,151.3388,179.7571
BOBR186,BOBR,2020-07-04 00:00:00,2020.5081967,186,-1391662.82509,5971556.58085,1750910.61711,47,940888.5622,1777625.3042,16.038931280308,103.118548969426,151.3368,179.7551
BOBR187,BOBR,2020-07-05 00:00:00,2020.5109290,187,-1391662.82703,5971556.58113,1750910.61964,47,940888.5640,1777625.3065,16.038931300449,103.118548986528,151.3381,179.7565
BOBR188,BOBR,2020-07-06 00:00:00,2020.5136612,188,-1391662.82767,5971556.58012,1750910.61669,47,940888.5649,1777625.3039,16.038931276957,103.118548994529,151.3365,179.7548
BOBR189,BOBR,2020-07-07 00:00:00,2020.5163934,189,-1391662.82564,5971556.57950,1750910.61858,47,940888.5630,1777625.3060,16.038931296015,103.118548977331,151.3360,179.7543
BOBR190,BOBR,2020-07-08 00:00:00,2020.5191257,190,-1391662.82438,5971556.57161,1750910.61190,47,940888.5637,1777625.3017,16.038931257892,103.118548982627,151.3265,179.7448
BOBR191,BOBR,2020-07-09 00:00:00,2020.5218579,191,-1391662.82222,5971556.57279,1750910.61459,47,940888.5613,1777625.3041,16.038931279613,103.118548960432,151.3279,179.7462
BOBR192,BOBR,2020-07-10 00:00:00,2020.5245902,192,-1391662.82695,5971556.57440,1750910.61663,47,940888.5655,1777625.3054,16.038931290687,103.118549000045,151.3310,179.7493
BOBR193,BOBR,2020-07-11 00:00:00,2020.5273224,193,-1391662.82823,5971556.57868,1750910.61343,47,940888.5659,1777625.3011,16.038931251822,103.118549002687,151.3344,179.7527
BOBR194,BOBR,2020-07-12 00:00:00,2020.5300546,194,-1391662.83169,5971556.58484,1750910.61824,47,940888.5678,1777625.3039,16.038931276622,103.118549021061,151.3423,179.7606
BOBR195,BOBR,2020-07-13 00:00:00,2020.5327869,195,-1391662.82697,5971556.57466,1750910.61387,47,940888.5655,1777625.3027,16.038931266112,103.118548999701,151.3305,179.7488
BOBR196,BOBR,2020-07-14 00:00:00,2020.5355191,196,-1391662.82542,5971556.58427,1750910.61838,47,940888.5618,1777625.3045,16.038931282834,103.118548965232,151.3404,179.7587
BOBR198,BOBR,2020-07-16 00:00:00,2020.5409836,198,-1391662.82780,5971556.59093,1750910.61917,47,940888.5626,1777625.3033,16.038931272079,103.118548972688,151.3474,179.7657
BOBR199,BOBR,2020-07-17 00:00:00,2020.5437158,199,-1391662.82384,5971556.57216,1750910.61367,47,940888.5630,1777625.3033,16.038931272207,103.118548976480,151.3274,179.7457
BOBR200,BOBR,2020-07-18 00:00:00,2020.5464481,200,-1391662.82683,5971556.57631,1750910.61667,47,940888.5650,1777625.3049,16.038931286487,103.118548994936,151.3328,179.7511
BOBR201,BOBR,2020-07-19 00:00:00,2020.5491803,201,-1391662.82690,5971556.57977,1750910.61383,47,940888.5643,1777625.3013,16.038931253396,103.118548988187,151.3352,179.7536
BOBR202,BOBR,2020-07-20 00:00:00,2020.5519126,202,-1391662.81801,5971556.56501,1750910.60326,47,940888.5591,1777625.2955,16.038931202467,103.118548938611,151.3166,179.7349
BOBR203,BOBR,2020-07-21 00:00:00,2020.5546448,203,-1391662.82483,5971556.56713,1750910.61126,47,940888.5651,1777625.3023,16.038931262975,103.118548996174,151.3222,179.7406
BOBR204,BOBR,2020-07-22 00:00:00,2020.5573770,204,-1391662.81913,5971556.58022,1750910.60996,47,940888.5567,1777625.2977,16.038931223077,103.118548916518,151.3329,179.7512
BOBR205,BOBR,2020-07-23 00:00:00,2020.5601093,205,-1391662.82186,5971556.56323,1750910.60093,47,940888.5633,1777625.2936,16.038931184436,103.118548977411,151.3151,179.7334
BOBR206,BOBR,2020-07-24 00:00:00,2020.5628415,206,-1391662.82020,5971556.57282,1750910.61327,47,940888.5593,1777625.3029,16.038931269200,103.118548941979,151.3271,179.7454
BOBR207,BOBR,2020-07-25 00:00:00,2020.5655738,207,-1391662.82527,5971556.57172,1750910.61131,47,940888.5646,1777625.3011,16.038931251961,103.118548990507,151.3266,179.7450
BOBR208,BOBR,2020-07-26 00:00:00,2020.5683060,208,-1391662.82223,5971556.56826,1750910.61286,47,940888.5623,1777625.3037,16.038931275599,103.118548970124,151.3232,179.7415
BOBR210,BOBR,2020-07-28 00:00:00,2020.5737705,210,-1391662.82618,5971556.58026,1750910.61433,47,940888.5635,1777625.3016,16.038931256926,103.118548980651,151.3357,179.7540
BOBR211,BOBR,2020-07-29 00:00:00,2020.5765027,211,-1391662.83004,5971556.58035,1750910.61667,47,940888.5672,1777625.3037,16.038931274852,103.118549015606,151.3373,179.7556
BOBR212,BOBR,2020-07-30 00:00:00,2020.5792350,212,-1391662.81900,5971556.55609,1750910.60549,47,940888.5620,1777625.3001,16.038931242979,103.118548966565,151.3091,179.7274
BOBR213,BOBR,2020-07-31 00:00:00,2020.5819672,213,-1391662.83301,5971556.58637,1750910.61733,47,940888.5687,1777625.3026,16.038931264239,103.118549029802,151.3437,179.7620
BOBR214,BOBR,2020-08-01 00:00:00,2020.5846995,214,-1391662.82242,5971556.56980,1750910.61460,47,940888.5621,1777625.3049,16.038931286841,103.118548968567,151.3251,179.7435
BOBR215,BOBR,2020-08-02 00:00:00,2020.5874317,215,-1391662.82488,5971556.57623,1750910.61287,47,940888.5631,1777625.3014,16.038931254780,103.118548977312,151.3312,179.7495
BOBR216,BOBR,2020-08-03 00:00:00,2020.5901639,216,-1391662.82965,5971556.58022,1750910.61731,47,940888.5668,1777625.3044,16.038931280945,103.118549012252,151.3372,179.7555
BOBR217,BOBR,2020-08-04 00:00:00,2020.5928962,217,-1391662.82520,5971556.58298,1750910.61177,47,940888.5620,1777625.2985,16.038931228674,103.118548965928,151.3373,179.7556
BOBR218,BOBR,2020-08-05 00:00:00,2020.5956284,218,-1391662.81934,5971556.57273,1750910.61245,47,940888.5585,1777625.3022,16.038931262773,103.118548934387,151.3266,179.7449
BOBR220,BOBR,2020-08-07 00:00:00,2020.6010929,220,-1391662.82228,5971556.55539,1750910.61112,47,940888.5653,1777625.3055,16.038931291714,103.118548997888,151.3107,179.7290
BOBR222,BOBR,2020-08-09 00:00:00,2020.6065574,222,-1391662.82319,5971556.56727,1750910.61380,47,940888.5635,1777625.3048,16.038931285634,103.118548981018,151.3227,179.7410
BOBR223,BOBR,2020-08-10 00:00:00,2020.6092896,223,-1391662.82108,5971556.57125,1750910.61215,47,940888.5605,1777625.3022,16.038931262764,103.118548953306,151.3255,179.7439
BOBR224,BOBR,2020-08-11 00:00:00,2020.6120219,224,-1391662.82086,5971556.55591,1750910.60822,47,940888.5638,1777625.3027,16.038931266116,103.118548983871,151.3100,179.7284
BOBR225,BOBR,2020-08-12 00:00:00,2020.6147541,225,-1391662.82193,5971556.55740,1750910.60792,47,940888.5645,1777625.3019,16.038931259256,103.118548990397,151.3116,179.7299
BOBR226,BOBR,2020-08-13 00:00:00,2020.6174863,226,-1391662.82347,5971556.56353,1750910.61322,47,940888.5646,1777625.3053,16.038931289457,103.118548991455,151.3191,179.7374
BOBR227,BOBR,2020-08-14 00:00:00,2020.6202186,227,-1391662.82421,5971556.56988,1750910.61374,47,940888.5639,1777625.3040,16.038931278186,103.118548984673,151.3254,179.7437
BOBR228,BOBR,2020-08-15 00:00:00,2020.6229508,228,-1391662.82467,5971556.56405,1750910.61182,47,940888.5657,1777625.3037,16.038931275400,103.118549001268,151.3195,179.7378
BOBR229,BOBR,2020-08-16 00:00:00,2020.6256831,229,-1391662.82134,5971556.55383,1750910.60833,47,940888.5647,1777625.3033,16.038931271863,103.118548992629,151.3082,179.7266
